Category (English),Category (Japanese),Activity (English),Activity (Japanese)
VMware Guest,VMware ゲスト,Disconnect,切断
VMware Guest,VMware ゲスト,Log On,ログオン
VMware Guest,VMware ゲスト,Log Off,ログオフ
VMware Guest,VMware ゲスト,Copy File,ファイルのコピー
VMware Guest,VMware ゲスト,Rename File,ファイル名の変更
VMware Guest,VMware ゲスト,File Exists,ファイルの存在
VMware Guest,VMware ゲスト,Get File Info,ファイル情報の取得
VMware Guest,VMware ゲスト,Create Temp File,一時ファイルの作成
VMware Guest,VMware ゲスト,Delete File,ファイルの削除
VMware Guest,VMware ゲスト,List Directories,ディレクトリのリスト化
VMware Guest,VMware ゲスト,Create Directory,ディレクトリの作成
VMware Guest,VMware ゲスト,Delete Directory,ディレクトリの削除
VMware Guest,VMware ゲスト,Directory Exists,ディレクトリの存在
VMware Guest,VMware ゲスト,List Processes,プロセスのリスト化
VMware Guest,VMware ゲスト,Kill Process,プロセスの終了
VMware Guest,VMware ゲスト,Run Program,プログラムの実行
VMware Guest,VMware ゲスト,Run Script,スクリプトの実行
VMware Guest,VMware ゲスト,Capture Screen,画面のキャプチャ
VMware Guest,VMware ゲスト,Open URL,URL を開く
VMware Guest,VMware ゲスト,Get Guest Variables,ゲスト変数の取得
VMware Guest,VMware ゲスト,Set Guest Variables,ゲスト変数の設定
VMware Guest,VMware ゲスト,Get Environment Variables,環境変数の取得
VMware Guest,VMware ゲスト,Set Environment Variables,環境変数の設定
VMware Host,VMware ホスト,Connect,接続
VMware Host,VMware ホスト,Disconnect,切断
VMware Host,VMware ホスト,Power On,パワーオン
VMware Host,VMware ホスト,Power Off,パワーオフ
VMware Host,VMware ホスト,Reset,リセット
VMware Host,VMware ホスト,Suspend,サスペンド
VMware Host,VMware ホスト,Pause,一時停止
VMware Host,VMware ホスト,Unpause,一時停止の解除
VMware Host,VMware ホスト,List Running VMs,実行中 VM のリスト化
VMware Host,VMware ホスト,Clone VM,仮想マシンの複製
VMware Host,VMware ホスト,Delete VM,仮想マシンの削除
VMware Host,VMware ホスト,Install VMware Tools,VMware Tools のインストール
VMware Host,VMware ホスト,List Registered VMs,登録済 VM のリスト化
VMware Host,VMware ホスト,Register,登録
VMware Host,VMware ホスト,Unregister,登録の解除
VMware Host,VMware ホスト,Create Snapshot,スナップショットの作成
VMware Host,VMware ホスト,Delete Snapshot,スナップショットの削除
VMware Host,VMware ホスト,Revert to Snapshot,スナップショットへの回復
VMware Host,VMware ホスト,List Snapshots,スナップショットのリスト化
Wait,Wait,File,ファイル
Wait,Wait,Pointer,ポインター
Wait,Wait,Process,プロセス
Wait,Wait,Time,時間
Wait,Wait,Date/Time,日時
Wait,Wait,Pixel,ピクセル
Wait,Wait,Window,ウィンドウ
Web Browser,Web ブラウザ,Open,ブラウザを開く
Web Browser,Web ブラウザ,Close,ブラウザを閉じる
Web Browser,Web ブラウザ,Assign Session,セッションの割当て
Web Browser,Web ブラウザ,Navigate,ページの移動
Web Browser,Web ブラウザ,Refresh,更新
Web Browser,Web ブラウザ,Back,戻る
Web Browser,Web ブラウザ,Forward,進む
Web Browser,Web ブラウザ,New Tab,新規タブ
Web Browser,Web ブラウザ,Duplicate Tab,タブの複製
Web Browser,Web ブラウザ,Switch Tab,タブの切替
Web Browser,Web ブラウザ,Close Tab,タブを閉じる
Web Browser,Web ブラウザ,Tab Details,タブの詳細
Web Browser,Web ブラウザ,Get Value,値の取得
Web Browser,Web ブラウザ,Set Value,値の設定
Web Browser,Web ブラウザ,Select List Item,リストアイテムの選択
Web Browser,Web ブラウザ,Select Menu Item,メニュー アイテムの選択
Web Browser,Web ブラウザ,Insert JavaScript,JavaScript の挿入
Web Browser,Web ブラウザ,Wait,Wait
Web Browser,Web ブラウザ,Click,クリック
Web Browser,Web ブラウザ,Check,チェックをつける
Web Browser,Web ブラウザ,Get URL,URL の取得
Web Browser,Web ブラウザ,Extract Table,テーブルの抽出
Web Browser,Web ブラウザ,Extract Source,ソースの抽出
Web Service,Web サービス,Execute Function,関数の実行
Window,ウィンドウ,Focus,フォーカス
Window,ウィンドウ,List Windows,ウィンドウをリスト化
Window,ウィンドウ,Hide,非表示
Window,ウィンドウ,Show,表示
Window,ウィンドウ,Maximize,最大化
Window,ウィンドウ,Minimize,最小化
Window,ウィンドウ,Restore,復元
Window,ウィンドウ,Close,閉じる
Window,ウィンドウ,Move,移動
Window,ウィンドウ,Resize,サイズ変更
Window,ウィンドウ,Tile,並べて表示
Window,ウィンドウ,Get Active Window,アクティブウィンドウの取得
WMI,WMI,WMI Query,WMI クエリ
XML,XML,Create Session,セッションの作成
XML,XML,End Session,セッションの終了
XML,XML,Create Node,ノードの作成
XML,XML,Read Node,ノードの読込み
XML,XML,Extract Node,ノードの抽出
XML,XML,Edit Node,ノードの編集
XML,XML,Delete Node,ノードの削除
XML,XML,Get Node,ノードの取得
XML,XML,Save,保存
XML,XML,Convert,変換
XML,XML,Validate,検証
XML,XML,Sign,署名
XML,XML,Verify Signature,署名の検証
XML,XML,Import,インポート
XML,XML,Export,エクスポート
XML,XML,Evaluate XPath,XPath の評価
XML,XML,Dataset to XML,データセットから XML
